ticker,rank,ivp,yield,leap_eff,recommendation
AAPL,1.00,0.24,0.97,35.30,Deep ITM LEAP (High Efficiency)
MSFT,0.98,0.28,1.20,30.22,Deep ITM LEAP (High Efficiency)
NVDA,0.96,0.32,1.91,24.86,Neutral / Wait for Entry
AMZN,0.94,0.29,1.37,28.26,Deep ITM LEAP (High Efficiency)
GOOGL,0.92,0.31,1.21,28.48,Neutral / Wait for Entry
META,0.90,0.32,1.47,26.52,Neutral / Wait for Entry
BRK-B,0.88,0.17,0.47,40.27,Deep ITM LEAP (High Efficiency)
TSLA,0.86,0.58,3.92,14.90,Neutral / Wait for Entry
AVGO,0.84,0.41,1.93,21.12,Neutral / Wait for Entry
LLY,0.82,0.57,2.50,12.47,Neutral / Wait for Entry
JPM,0.80,0.24,0.77,27.98,Deep ITM LEAP (High Efficiency)
WMT,0.78,0.25,0.90,26.22,Neutral / Wait for Entry
XOM,0.76,0.38,1.42,18.29,Neutral / Wait for Entry
V,0.74,0.33,1.04,21.59,Neutral / Wait for Entry
MA,0.72,0.34,1.08,20.86,Neutral / Wait for Entry
UNH,0.70,0.45,1.67,15.81,Neutral / Wait for Entry
COST,0.68,0.19,0.56,35.48,Neutral / Wait for Entry
JNJ,0.66,0.22,0.57,32.56,Neutral / Wait for Entry
ORCL,0.64,0.57,2.51,12.53,Neutral / Wait for Entry
HD,0.62,0.28,0.84,25.15,Neutral / Wait for Entry
PG,0.60,0.26,0.81,26.40,Neutral / Wait for Entry
ABBV,0.58,0.41,1.65,16.79,Neutral / Wait for Entry
BAC,0.56,0.27,0.80,26.16,Neutral / Wait for Entry
NFLX,0.54,0.32,1.18,21.02,Neutral / Wait for Entry
KO,0.52,0.24,0.66,29.39,Neutral / Wait for Entry
CRM,0.50,0.47,1.73,15.34,Neutral / Wait for Entry
CVX,0.48,0.34,0.99,21.36,Neutral / Wait for Entry
MRK,0.46,0.39,1.41,17.92,Neutral / Wait for Entry
AMD,0.44,0.55,2.54,12.70,Neutral / Wait for Entry
TMO,0.42,0.47,1.93,14.98,Neutral / Wait for Entry
PEP,0.40,0.23,0.73,29.24,Neutral / Wait for Entry
ACN,0.38,0.44,1.67,16.05,Neutral / Wait for Entry
CSCO,0.36,0.28,0.97,24.27,Neutral / Wait for Entry
WFC,0.34,0.29,1.08,23.07,Neutral / Wait for Entry
MCD,0.32,0.20,0.51,35.33,Neutral / Wait for Entry
ABT,0.30,0.26,0.75,27.25,Neutral / Wait for Entry
LIN,0.28,0.25,0.53,18.18,Neutral / Wait for Entry
IBM,0.26,0.51,2.29,13.57,Neutral / Wait for Entry
GE,0.24,0.47,1.73,15.25,Neutral / Wait for Entry
DIS,0.22,0.24,0.80,28.04,Neutral / Wait for Entry
ADBE,0.20,0.46,1.65,15.73,Neutral / Wait for Entry
PM,0.18,0.40,1.51,17.36,Neutral / Wait for Entry
CAT,0.16,0.50,1.98,14.29,Neutral / Wait for Entry
TXN,0.14,0.54,2.26,13.18,Neutral / Wait for Entry
INTU,0.12,0.54,2.11,13.37,Neutral / Wait for Entry
QCOM,0.10,0.56,2.49,12.68,Neutral / Wait for Entry
AMGN,0.08,0.38,1.36,18.43,Neutral / Wait for Entry
NOW,0.06,0.86,5.05,8.62,Bear Call Spread
GS,0.04,0.31,1.03,22.55,Neutral / Wait for Entry
SPGI,0.02,0.40,1.26,18.13,Neutral / Wait for Entry
